Дата,CO2,Влажность,Температура,Давление,Освещённость,Уровень шума
2025-01-05 14:00:00,409,55,1.3,1005,757,39
2025-01-05 15:00:00,380,58,0.2,1001,663,37
2025-01-05 16:00:00,380,68,-3.1,1000,586,40
2025-01-05 17:00:00,380,,-2.6,1001,415,34
2025-01-05 18:00:00,380,61,-1.8,1000,384,42
2025-01-05 19:00:00,380,66,-1.8,1000,115,38
2025-01-05 20:00:00,380,67,-2.6,1000,0,33
2025-01-05 21:00:00,380,62,1.1,1004,0,39
2025-01-05 22:00:00,380,61,1.5,999,0,33
2025-01-05 23:00:00,421,58,3.6,1002,0,36
2025-01-06 00:00:00,466,51,7.8,1003,0,33
2025-01-06 01:00:00,450,44,10.0,1001,57,48
2025-01-06 02:00:00,482,42,13.2,1004,55,43
2025-01-06 03:00:00,553,40,13.5,1004,53,52
2025-01-06 04:00:00,531,37,15.6,1002,5,
2025-01-06 05:00:00,540,40,19.3,1002,69,56
2025-01-06 06:00:00,578,35,17.5,999,0,54
2025-01-06 07:00:00,,40,18.4,1000,55,56
2025-01-06 08:00:00,561,38,15.6,1002,215,49
2025-01-06 09:00:00,539,44,13.2,1004,392,48
2025-01-06 10:00:00,475,40,11.0,1000,437,48
2025-01-06 11:00:00,463,49,9.5,1003,559,43
2025-01-06 12:00:00,432,51,8.5,1003,637,40
2025-01-06 13:00:00,389,52,3.6,1000,709,38
2025-01-06 14:00:00,380,56,1.3,1002,726,43
2025-01-06 15:00:00,380,65,0.2,1003,698,42
2025-01-06 16:00:00,380,59,-3.7,1005,570,36
2025-01-06 17:00:00,380,61,-4.8,1004,504,43
2025-01-06 18:00:00,380,63,-2.5,1000,270,42
2025-01-06 19:00:00,380,63,-4.8,1005,205,38
2025-01-06 20:00:00,380,68,-0.3,1003,0,35
2025-01-06 21:00:00,380,57,0.1,1005,25,37
2025-01-06 22:00:00,384,61,3.7,1005,3,37
2025-01-06 23:00:00,395,56,5.2,1002,0,36
2025-01-07 00:00:00,473,54,9.1,1002,0,32
2025-01-07 01:00:00,485,47,9.7,1007,56,48
2025-01-07 02:00:00,532,43,14.4,1003,61,51
2025-01-07 03:00:00,527,44,15.9,1000,0,51
2025-01-07 04:00:00,544,40,17.3,1003,0,57
2025-01-07 05:00:00,631,37,20.7,1004,31,53
2025-01-07 06:00:00,588,43,19.4,1005,,60
2025-01-07 07:00:00,630,36,20.4,1001,0,61
2025-01-07 08:00:00,629,44,21.4,1003,176,58
2025-01-07 09:00:00,578,45,19.3,1007,290,55
2025-01-07 10:00:00,509,47,17.2,1003,510,48
2025-01-07 11:00:00,518,49,14.5,1005,552,38
2025-01-07 12:00:00,476,58,9.6,1005,589,43
2025-01-07 13:00:00,440,62,7.5,1006,648,
2025-01-07 14:00:00,420,,4.3,1009,738,40
2025-01-07 15:00:00,406,69,3.3,1007,590,43
2025-01-07 16:00:00,380,65,2.0,1010,521,39
2025-01-07 17:00:00,380,72,2.4,1004,479,40
2025-01-07 18:00:00,380,69,2.3,1006,368,35
2025-01-07 19:00:00,380,72,0.5,1004,160,34
2025-01-07 20:00:00,380,71,5.2,1007,12,43
2025-01-07 21:00:00,380,71,4.4,1005,0,40
2025-01-07 22:00:00,437,63,9.6,1008,28,32
2025-01-07 23:00:00,511,59,11.3,1011,57,41
2025-01-08 00:00:00,480,58,15.3,1008,0,36
2025-01-08 01:00:00,569,56,16.8,1011,42,42
2025-01-08 02:00:00,589,52,21.2,1008,53,52
2025-01-08 03:00:00,613,50,20.7,1007,57,48
2025-01-08 04:00:00,649,51,25.8,1007,44,54
2025-01-08 05:00:00,680,41,27.9,1007,23,53
2025-01-08 06:00:00,656,47,24.9,1010,63,50
2025-01-08 07:00:00,711,43,25.1,1007,60,53
2025-01-08 08:00:00,628,45,26.7,1012,230,59
2025-01-08 09:00:00,618,52,23.2,1007,366,49
2025-01-08 10:00:00,660,56,24.0,1008,442,47
2025-01-08 11:00:00,583,60,18.1,1010,620,39
2025-01-08 12:00:00,537,63,18.7,1011,,37
2025-01-08 13:00:00,565,70,15.0,1010,742,44
2025-01-08 14:00:00,466,69,14.0,1013,673,39
2025-01-08 15:00:00,498,68,9.1,1014,604,35
2025-01-08 16:00:00,415,74,7.6,1008,643,36
2025-01-08 17:00:00,406,75,6.9,1014,420,35
2025-01-08 18:00:00,465,81,7.6,1012,352,36
2025-01-08 19:00:00,437,79,7.0,1009,107,43
2025-01-08 20:00:00,441,77,9.5,1014,0,34
2025-01-08 21:00:00,,71,13.0,1015,1,44
2025-01-08 22:00:00,520,67,12.5,1014,0,38
2025-01-08 23:00:00,580,64,16.1,1014,0,44
2025-01-09 00:00:00,560,66,18.0,1009,70,41
2025-01-09 01:00:00,641,63,23.8,1009,0,39
2025-01-09 02:00:00,677,59,25.1,1011,19,43
2025-01-09 03:00:00,690,52,27.4,1011,39,55
2025-01-09 04:00:00,693,55,29.5,1015,0,53
2025-01-09 05:00:00,716,50,30.6,1011,39,57
2025-01-09 06:00:00,731,48,29.7,1016,2,54
2025-01-09 07:00:00,717,55,32.8,,10,60
2025-01-09 08:00:00,740,53,30.3,1010,125,49
2025-01-09 09:00:00,718,60,28.6,1013,308,52
2025-01-09 10:00:00,675,57,26.4,1015,409,52
2025-01-09 11:00:00,658,67,23.4,1011,609,39
2025-01-09 12:00:00,639,70,19.2,1017,670,33
2025-01-09 13:00:00,554,66,19.1,1015,755,38
2025-01-09 14:00:00,545,68,16.2,1017,730,39
2025-01-09 15:00:00,536,74,11.4,1012,700,34
2025-01-09 16:00:00,506,78,12.5,1016,623,37
2025-01-09 17:00:00,449,84,10.1,1011,416,33
2025-01-09 18:00:00,501,81,11.6,1015,390,39
2025-01-09 19:00:00,471,77,11.7,1014,142,39
2025-01-09 20:00:00,486,75,11.8,1016,0,33
2025-01-09 21:00:00,527,80,11.4,1012,53,42
2025-01-09 22:00:00,506,74,13.8,1012,7,42
2025-01-09 23:00:00,539,66,17.8,1013,19,33
2025-01-10 00:00:00,569,61,21.5,1011,43,32
2025-01-10 01:00:00,679,58,24.7,1014,0,46
2025-01-10 02:00:00,700,58,25.3,1012,0,48
2025-01-10 03:00:00,676,58,27.5,1015,,49
2025-01-10 04:00:00,705,51,29.4,1013,2,54
2025-01-10 05:00:00,723,52,30.5,1016,40,54
2025-01-10 06:00:00,770,51,31.8,1015,0,57
2025-01-10 07:00:00,699,,30.4,1016,0,56
2025-01-10 08:00:00,755,52,31.3,1013,150,57
2025-01-10 09:00:00,705,52,26.4,1014,349,53
2025-01-10 10:00:00,682,57,24.1,1012,503,42
2025-01-10 11:00:00,649,63,23.9,1010,563,39
2025-01-10 12:00:00,552,60,19.0,1012,624,35
2025-01-10 13:00:00,541,69,16.5,1010,762,36
2025-01-10 14:00:00,531,67,15.0,1011,753,35
2025-01-10 15:00:00,476,71,9.7,1009,598,39
2025-01-10 16:00:00,467,78,8.0,1010,563,36
2025-01-10 17:00:00,452,78,9.0,1011,449,
2025-01-10 18:00:00,411,81,9.4,1008,270,41
2025-01-10 19:00:00,436,79,,1010,235,33
2025-01-10 20:00:00,473,72,6.6,1010,0,33
2025-01-10 21:00:00,467,76,10.3,1013,0,34
2025-01-10 22:00:00,482,69,10.4,1014,27,42
2025-01-10 23:00:00,548,64,14.4,1010,0,41
2025-01-11 00:00:00,522,58,19.0,1011,0,37
2025-01-11 01:00:00,578,60,18.0,1008,0,47
2025-01-11 02:00:00,651,53,22.3,1013,17,53
2025-01-11 03:00:00,672,55,25.2,1009,0,55
2025-01-11 04:00:00,677,44,24.0,1009,27,48
2025-01-11 05:00:00,684,50,27.3,1009,0,59
2025-01-11 06:00:00,705,48,27.2,1012,20,59
2025-01-11 07:00:00,644,48,26.2,1010,10,51
2025-01-11 08:00:00,683,51,26.1,1006,215,57
2025-01-11 09:00:00,593,50,20.7,1009,277,52
2025-01-11 10:00:00,602,56,18.9,1009,440,49
2025-01-11 11:00:00,521,58,16.2,1005,554,42
2025-01-11 12:00:00,544,61,13.6,1010,661,34
2025-01-11 13:00:00,514,59,11.1,1010,639,42
2025-01-11 14:00:00,413,68,9.1,1007,646,39
2025-01-11 15:00:00,384,70,3.4,1009,656,39
2025-01-11 16:00:00,380,66,2.2,1008,621,42
2025-01-11 17:00:00,380,67,3.0,1004,451,34
2025-01-11 18:00:00,380,68,0.6,1003,325,37
2025-01-11 19:00:00,391,72,1.9,1005,175,33
2025-01-11 20:00:00,380,73,0.7,1008,0,43
2025-01-11 21:00:00,380,70,3.3,1009,0,43
2025-01-11 22:00:00,450,64,4.3,1003,0,35
2025-01-11 23:00:00,486,57,7.1,1005,55,39
2025-01-12 00:00:00,510,52,9.1,1008,0,35
2025-01-12 01:00:00,548,54,14.5,1005,2,48
2025-01-12 02:00:00,571,43,14.8,1005,66,43
2025-01-12 03:00:00,565,46,19.6,1005,53,55
2025-01-12 04:00:00,627,36,20.7,1005,31,53
2025-01-12 05:00:00,,38,21.6,1002,41,54
2025-01-12 06:00:00,590,35,22.6,1006,22,50
2025-01-12 07:00:00,562,40,21.8,1001,10,53
2025-01-12 08:00:00,562,39,19.2,1002,174,48
2025-01-12 09:00:00,574,43,17.0,1007,339,53
2025-01-12 10:00:00,525,46,15.0,1002,457,48
2025-01-12 11:00:00,462,52,11.1,1003,534,46
2025-01-12 12:00:00,415,53,10.4,1003,659,37
2025-01-12 13:00:00,438,54,,1003,730,41
2025-01-12 14:00:00,380,61,4.2,1004,746,41
2025-01-12 15:00:00,380,66,-1.0,1005,704,35
2025-01-12 16:00:00,380,61,-2.6,1006,602,41
2025-01-12 17:00:00,380,66,-4.4,1002,431,40
2025-01-12 18:00:00,380,65,-1.4,1000,388,35
2025-01-12 19:00:00,380,61,-2.2,1002,101,40
2025-01-12 20:00:00,380,65,-0.7,1000,0,40
2025-01-12 21:00:00,380,61,-2.2,1002,29,39
2025-01-12 22:00:00,380,56,1.1,1000,32,36
2025-01-12 23:00:00,391,58,2.6,1005,0,42
2025-01-13 00:00:00,421,50,7.6,1005,0,39
2025-01-13 01:00:00,438,50,10.1,1005,0,39
2025-01-13 02:00:00,487,45,12.6,1004,0,46
2025-01-13 03:00:00,543,40,14.2,1003,65,54
2025-01-13 04:00:00,584,42,17.8,1002,0,49
2025-01-13 05:00:00,577,33,19.5,999,,60
2025-01-13 06:00:00,533,32,18.5,1002,0,51
2025-01-13 07:00:00,565,36,19.0,1005,0,
2025-01-13 08:00:00,541,37,17.5,1000,149,50
2025-01-13 09:00:00,,36,13.1,1000,,55
2025-01-13 10:00:00,481,40,11.2,1004,459,41
2025-01-13 11:00:00,500,46,9.3,1004,557,44
2025-01-13 12:00:00,433,53,7.9,1002,710,39
2025-01-13 13:00:00,394,50,5.1,1000,735,41
2025-01-13 14:00:00,380,59,2.1,1003,729,43
2025-01-13 15:00:00,380,62,-1.4,1000,676,40
2025-01-13 16:00:00,380,63,-1.5,1004,630,35
2025-01-13 17:00:00,380,68,-2.6,1004,419,37
2025-01-13 18:00:00,380,63,-1.7,1002,329,38
2025-01-13 19:00:00,380,63,-4.2,1005,203,33
2025-01-13 20:00:00,380,62,-1.4,1004,62,43
2025-01-13 21:00:00,380,61,0.4,1001,19,37
2025-01-13 22:00:00,380,57,4.4,1004,44,42
2025-01-13 23:00:00,430,59,7.0,1000,0,39
2025-01-14 00:00:00,,53,9.5,1001,16,34
2025-01-14 01:00:00,525,45,9.7,1001,0,39
2025-01-14 02:00:00,488,46,15.4,1001,0,46
2025-01-14 03:00:00,568,46,17.9,1007,0,52
2025-01-14 04:00:00,593,39,20.3,1006,39,49
2025-01-14 05:00:00,607,35,19.4,1001,23,61
2025-01-14 06:00:00,593,43,21.5,1007,0,59
2025-01-14 07:00:00,617,39,18.5,1002,66,51
2025-01-14 08:00:00,624,38,17.7,1008,222,57
2025-01-14 09:00:00,550,43,16.3,1006,264,53
2025-01-14 10:00:00,528,48,17.6,1004,431,51
2025-01-14 11:00:00,494,47,14.0,1008,563,43
2025-01-14 12:00:00,476,56,13.0,1005,644,34
2025-01-14 13:00:00,417,59,9.4,1008,697,32
2025-01-14 14:00:00,438,58,4.6,1006,701,38
2025-01-14 15:00:00,429,68,3.8,1004,590,37
2025-01-14 16:00:00,380,69,1.5,1005,618,34
2025-01-14 17:00:00,,70,1.3,1005,398,33
2025-01-14 18:00:00,386,75,1.2,1005,317,37
2025-01-14 19:00:00,380,66,4.0,1006,157,36
2025-01-14 20:00:00,399,66,2.4,1004,22,39
2025-01-14 21:00:00,421,65,3.5,1006,70,33
2025-01-14 22:00:00,470,68,9.7,1007,15,44
2025-01-14 23:00:00,471,62,10.1,1007,0,33
2025-01-15 00:00:00,494,56,12.7,1010,65,
2025-01-15 01:00:00,577,59,15.8,1008,68,45
2025-01-15 02:00:00,564,47,18.7,1010,0,51
2025-01-15 03:00:00,608,50,23.6,1009,13,55
2025-01-15 04:00:00,673,47,25.1,1012,60,54
2025-01-15 05:00:00,643,48,25.7,1012,0,
2025-01-15 06:00:00,654,48,25.6,1006,0,56
2025-01-15 07:00:00,646,47,24.8,1007,55,57
2025-01-15 08:00:00,686,46,27.4,1011,216,56
2025-01-15 09:00:00,672,49,23.5,1007,381,52
2025-01-15 10:00:00,613,49,23.8,1011,514,49
2025-01-15 11:00:00,575,58,19.2,1009,,44
2025-01-15 12:00:00,527,58,19.0,1010,691,42
2025-01-15 13:00:00,504,66,14.6,1011,711,43
2025-01-15 14:00:00,501,69,12.5,1008,667,35
2025-01-15 15:00:00,477,76,11.9,1014,685,33
2025-01-15 16:00:00,430,76,6.8,1010,622,32
2025-01-15 17:00:00,406,75,5.7,1009,435,32
2025-01-15 18:00:00,456,81,5.9,1010,331,41
2025-01-15 19:00:00,448,74,6.3,1010,170,44
2025-01-15 20:00:00,464,78,9.4,1014,0,44
2025-01-15 21:00:00,516,70,10.5,1011,0,40
2025-01-15 22:00:00,514,70,14.4,1012,27,36
2025-01-15 23:00:00,574,71,15.3,1011,0,41
2025-01-16 00:00:00,554,65,20.1,1011,0,38
2025-01-16 01:00:00,651,63,,1012,0,37
2025-01-16 02:00:00,653,60,24.6,1016,10,50
2025-01-16 03:00:00,666,58,27.2,1015,53,54
2025-01-16 04:00:00,706,53,28.5,1010,27,56
2025-01-16 05:00:00,729,54,31.6,1013,0,59
2025-01-16 06:00:00,731,55,31.3,1017,5,56
2025-01-16 07:00:00,739,50,31.9,1017,0,
2025-01-16 08:00:00,749,52,32.0,1013,134,50
2025-01-16 09:00:00,682,58,28.3,1012,304,52
2025-01-16 10:00:00,665,56,26.2,1012,411,48
2025-01-16 11:00:00,607,64,23.3,1012,558,44
2025-01-16 12:00:00,580,68,20.6,1016,671,41
2025-01-16 13:00:00,594,72,17.0,1012,715,41
2025-01-16 14:00:00,505,73,16.3,1015,633,42
2025-01-16 15:00:00,473,78,14.3,1012,685,
2025-01-16 16:00:00,517,83,12.6,1016,578,41
2025-01-16 17:00:00,448,78,12.0,1017,431,37
2025-01-16 18:00:00,447,83,10.2,1011,351,41
2025-01-16 19:00:00,475,82,11.9,1016,210,39
2025-01-16 20:00:00,453,84,10.7,1015,0,38
2025-01-16 21:00:00,529,78,14.2,1013,0,35
2025-01-16 22:00:00,544,69,17.3,1017,22,38
2025-01-16 23:00:00,573,,18.3,1017,0,33
2025-01-17 00:00:00,599,65,19.3,1017,1,
2025-01-17 01:00:00,610,60,23.1,1016,0,48
2025-01-17 02:00:00,677,54,26.1,1013,35,51
2025-01-17 03:00:00,727,50,27.2,1016,0,55
2025-01-17 04:00:00,732,52,28.3,1010,,53
2025-01-17 05:00:00,771,49,29.4,1011,48,61
2025-01-17 06:00:00,775,51,32.4,1013,3,50
2025-01-17 07:00:00,738,51,31.3,1011,15,59
2025-01-17 08:00:00,722,54,30.2,1015,108,48
2025-01-17 09:00:00,657,55,26.2,1016,274,55
2025-01-17 10:00:00,639,52,27.2,1013,395,52
2025-01-17 11:00:00,614,65,22.3,1013,605,45
2025-01-17 12:00:00,617,65,18.6,1013,667,43
2025-01-17 13:00:00,548,71,18.0,1015,662,41
2025-01-17 14:00:00,543,70,14.7,1010,743,34
2025-01-17 15:00:00,450,73,12.9,1015,642,43
2025-01-17 16:00:00,433,77,8.5,1014,616,32
2025-01-17 17:00:00,461,75,6.5,1011,449,43
2025-01-17 18:00:00,441,80,9.2,1009,336,44
2025-01-17 19:00:00,413,73,9.1,1013,129,42
2025-01-17 20:00:00,444,74,6.5,1015,0,40
2025-01-17 21:00:00,452,76,8.5,1012,0,39
2025-01-17 22:00:00,516,69,12.9,1014,41,38
2025-01-17 23:00:00,544,61,13.5,1008,0,39
2025-01-18 00:00:00,582,64,16.8,1011,53,35
2025-01-18 01:00:00,555,57,18.4,1011,69,49
2025-01-18 02:00:00,601,58,23.2,1011,49,46
2025-01-18 03:00:00,613,49,24.6,1009,0,49
2025-01-18 04:00:00,689,43,25.6,1011,32,56
2025-01-18 05:00:00,714,42,28.4,1006,0,53
2025-01-18 06:00:00,697,43,,1012,61,58
2025-01-18 07:00:00,657,48,26.2,1012,0,51
2025-01-18 08:00:00,672,43,26.1,1012,189,56
2025-01-18 09:00:00,628,51,23.4,1011,320,51
2025-01-18 10:00:00,617,47,,1008,528,
2025-01-18 11:00:00,547,59,18.6,1008,577,45
2025-01-18 12:00:00,559,56,14.5,1011,719,36
2025-01-18 13:00:00,446,57,12.7,1008,706,40
2025-01-18 14:00:00,461,65,6.2,1009,659,38
2025-01-18 15:00:00,394,69,7.3,1006,616,32
2025-01-18 16:00:00,396,73,1.7,1005,559,35
2025-01-18 17:00:00,380,75,2.9,1004,505,36
2025-01-18 18:00:00,380,73,0.9,1003,362,38
2025-01-18 19:00:00,380,68,0.1,1009,137,40
2025-01-18 20:00:00,411,68,3.8,1009,0,39
2025-01-18 21:00:00,405,70,5.1,1009,0,36
2025-01-18 22:00:00,380,62,4.3,1005,0,41
2025-01-18 23:00:00,466,55,7.8,1008,40,38
2025-01-19 00:00:00,481,52,10.4,1006,0,39
2025-01-19 01:00:00,519,46,11.8,1009,0,39
2025-01-19 02:00:00,580,47,16.3,1008,43,44
2025-01-19 03:00:00,591,40,16.3,1005,16,51
2025-01-19 04:00:00,573,40,18.7,1003,0,57
2025-01-19 05:00:00,577,34,19.0,1005,0,50
2025-01-19 06:00:00,621,38,22.0,1002,53,53
2025-01-19 07:00:00,560,36,18.8,1005,45,54
2025-01-19 08:00:00,548,40,17.3,1001,101,50
2025-01-19 09:00:00,546,43,18.3,1001,360,51
2025-01-19 10:00:00,489,44,13.0,1004,506,43
2025-01-19 11:00:00,515,51,13.2,1003,612,47
2025-01-19 12:00:00,439,50,7.7,1005,620,40
2025-01-19 13:00:00,389,55,3.6,1004,678,37
2025-01-19 14:00:00,380,56,2.4,1001,741,36
2025-01-19 15:00:00,380,66,0.4,1003,723,43
2025-01-19 16:00:00,380,60,-1.2,1004,543,34
2025-01-19 17:00:00,380,62,-3.4,1000,469,35
2025-01-19 18:00:00,380,69,-3.2,1002,308,41
2025-01-19 19:00:00,380,65,-2.7,1005,209,35
2025-01-19 20:00:00,380,63,-0.6,1002,60,39
2025-01-19 21:00:00,380,60,-0.2,1005,10,43
2025-01-19 22:00:00,380,56,3.6,1003,0,42
2025-01-19 23:00:00,386,56,6.3,1001,0,43
2025-01-20 00:00:00,464,55,8.4,1001,0,36
2025-01-20 01:00:00,505,48,8.0,1002,26,38
2025-01-20 02:00:00,505,39,14.3,1001,0,45
2025-01-20 03:00:00,510,43,15.4,1003,0,51
2025-01-20 04:00:00,575,41,17.8,1000,0,53
2025-01-20 05:00:00,598,37,15.8,1004,28,59
2025-01-20 06:00:00,583,30,16.1,1000,50,52
2025-01-20 07:00:00,527,34,19.5,1003,0,60
2025-01-20 08:00:00,527,34,17.0,1001,119,57
2025-01-20 09:00:00,552,38,15.7,1005,305,55
2025-01-20 10:00:00,496,45,11.3,1002,479,41
2025-01-20 11:00:00,446,44,9.7,1002,642,42
2025-01-20 12:00:00,455,46,7.2,1000,704,37
2025-01-20 13:00:00,435,51,6.2,1003,713,34
2025-01-20 14:00:00,380,61,2.9,1002,670,41
2025-01-20 15:00:00,380,65,-0.4,1003,690,36
2025-01-20 16:00:00,380,65,-0.6,1000,640,37
2025-01-20 17:00:00,380,63,-1.5,1005,461,42
2025-01-20 18:00:00,380,63,-3.4,,375,43
2025-01-20 19:00:00,380,64,-4.6,1005,190,35
2025-01-20 20:00:00,380,62,-1.3,1005,61,40
2025-01-20 21:00:00,380,61,-1.6,1006,0,41
2025-01-20 22:00:00,,54,1.3,1001,0,34
2025-01-20 23:00:00,396,60,5.8,1005,0,43
2025-01-21 00:00:00,427,48,8.5,1003,0,39
2025-01-21 01:00:00,504,53,11.7,1003,6,41
2025-01-21 02:00:00,509,41,12.7,1005,0,43
2025-01-21 03:00:00,519,38,15.1,1006,38,51
2025-01-21 04:00:00,597,35,18.4,1004,0,51
2025-01-21 05:00:00,627,34,21.3,1003,0,58
2025-01-21 06:00:00,602,33,21.6,1008,9,57
2025-01-21 07:00:00,617,36,19.3,1006,13,58
2025-01-21 08:00:00,575,45,21.0,1005,226,55
2025-01-21 09:00:00,566,41,17.4,1003,381,56
2025-01-21 10:00:00,537,51,16.4,1007,428,49
2025-01-21 11:00:00,495,51,14.3,1006,585,38
2025-01-21 12:00:00,520,56,11.1,,658,42
2025-01-21 13:00:00,418,61,6.8,1005,631,36
2025-01-21 14:00:00,415,63,7.4,1003,659,33
2025-01-21 15:00:00,397,69,2.5,1008,634,34
2025-01-21 16:00:00,380,66,2.7,1007,624,44
2025-01-21 17:00:00,380,69,0.8,1005,440,37
